id,trigger,conditions,script,text,options,notes
"#RULESET_NAME TakeNoPrisoners",,,,,,
TNP_PickAndOpenPrisonerDialog,OpenInteractionDialog,"$coff_isprisoner score:10000
!$coff_dialogpicked","$coff_dialogpicked = true
TNP_CalcBribePrice
TNP_CalcRansomPrice
FireBest PickPrisonerDialog
FireBest StartPrisonerDialog",,,"Pick best prisoner dialog and run it."
TNP_OpenPrisonerDialog,OpenInteractionDialog,"$coff_isprisoner score:10000
$coff_dialogpicked","FireBest StartPrisonerDialog",,,
TNP_HireActivePerson,TNP_HireActivePerson,,"TNP_HireActivePerson",,,"Hires the active person as an officer. Calls the trigger TNP_HiredPrisoner"
TNP_RemoveActivePerson,TNP_RemoveActivePerson,,"TNP_RemoveActivePerson",,,"Removes the active person from the ""prison""."
TNP_HireAndRemoveActivePerson,TNP_HireAndRemoveActivePerson,,"TNP_HireAndRemoveActivePerson",,,"Hires the active person as an officer, and removes them from the ""prison"". Calls the trigger TNP_HiredPrisoner"
TNP_ExecuteActivePerson,TNP_ExecuteActivePerson,,"TNP_ExecuteActivePerson",,,"Removes the active person from the ""prison"". Calls the trigger TNP_ExecutedPrisoner."
TNP_ReleaseActivePerson,TNP_ReleaseActivePerson,,"TNP_ReleaseActivePerson",,,"Removes the active person from the ""prison"". Calls the trigger TNP_ReleasedPrisoner"
,,,,,,
# Any Faction Prisoner Dialogs,,,,,,
,,,,,,
# Prisoner 1,,,,,,
PickPrisonerDialogDefault1,PickPrisonerDialog,,"$coff_dialogtrigger = Default1
$coff_allowedactions = ""talk,bribe,release,ransom,execute""",,,"Default dialog for any prisoner."
OpenPrisonerDialogDefault1,StartPrisonerDialog,"$coff_dialogtrigger == Default1 score:100","TNP_CalcBribePrice
FireAll PopulatePrisonerOptions_Default1","
""You'll never get anything from me."" It's clear that $heOrShe is not going to cooperate without a fight. Or a bribe.

OR

""You have the audacity to look me in the eyes after that clown show?"" $HeOrShe is clearly still sore about the defeat.

OR

""It figures I'd be lucky enough to look my future killer in the eyes."" $HeOrShe looks up at you, defeat in $hisOrHer eyes.",,"Default dialog."
Default1PrisonerBribeOptionCanAfford,PopulatePrisonerOptions_Default1,"$coff_dialogtrigger == Default1
$player.credits >= $coff_bribeprice",,,"Default1PrisonerBribe:Offer to hire $himOrHer for $coff_bribeprice_text.",
Default1PrisonerBribeOptionCannotAfford,PopulatePrisonerOptions_Default1,"$coff_dialogtrigger == Default1
$player.credits < $coff_bribeprice","SetTooltip Default1PrisonerBribe ""Insufficient amount of credits.""
SetEnabled Default1PrisonerBribe false",,"Default1PrisonerBribe:Offer to hire $himOrHer for $coff_bribeprice_text.",
Default1PrisonerReleaseOption,PopulatePrisonerOptions_Default1,,,,"Default1PrisonerRelease:Release $himOrHer.",
Default1PrisonerRansomOption,PopulatePrisonerOptions_Default1,"TNP_CloseToAnyFactionMarket
$coff_ransomable",,,"Default1PrisonerRansom:Ransom $himOrHer for $coff_ransomprice_text.",
Default1PrisonerExecuteOption,PopulatePrisonerOptions_Default1,,,,"Default1PrisonerExecute:Execute $himOrHer.",
Default1PrisonerLeaveOption,PopulatePrisonerOptions_Default1,,,,"defaultLeave:Leave",
Default1PrisonerBribe,DialogOptionSelected,"$option == Default1PrisonerBribe","AddRemoveCommodity credits -$coff_bribeprice true
FireBest TNP_HireActivePerson","A simple flick of your Tri-Pad is all it takes to pay the price requested by the prisoner. Your security officer releases the newly annointed officer from the brig, ready to begin piloting again.","defaultLeave:Good.",
Default1PrisonerRelease,DialogOptionSelected,"$option == Default1PrisonerRelease","FireBest TNP_RemoveActivePerson","The prisoner almost looks smug as $heOrShe is escorted to the shuttle.

""Be seeing you again soon, $player.name. Real soon.""","defaultLeave:Leave.",
Default1PrisonerExecute,DialogOptionSelected,"$option == Default1PrisonerExecute","FireBest TNP_ExecuteActivePerson","The prisoner is terrified for a brief moment, but that moment is all it takes for the life to leave $hisOrHer eyes.","defaultLeave:Leave.",
Default1PrisonerRansom,DialogOptionSelected,"$option == Default1PrisonerRansom","FireBest TNP_RemoveActivePerson
AddRemoveCommodity credits $coff_ransomprice true","The prisoner is escorted to the shuttle. As it leaves weapons range of your fleet, you hear a ping notifying you of your ransom pay.","defaultLeave:Good.",
Default1PrisonerExecuted,TNP_ExecutedPrisoner,"$coff_dialogtrigger == Default1", "AdjustRep $personFaction.id VENGEFUL -8",,,
"#END Prisoner 1",,,,,,
"#END Any Faction",,,,,,
,,,,,,
# Luddic Path,,,,,,
,,,,,,
# Pious,,,,,,
PickPrisonerDialogLuddicPathFanatical1,PickPrisonerDialog,"$personFaction.id == luddic_path","$coff_dialogtrigger = PatherFanatical1
$coff_allowedactions = ""talk,release,ransom,execute""",,,"Pious dialog for a Pather."
LuddicPath1OpenPrisonerDialog,StartPrisonerDialog,"$coff_dialogtrigger == PatherFanatical1 score:100","FireAll PopulatePrisonerOptions_PatherFanatical1","""Begone, follower of Moloch, or Ludd strike thee!""
The Pather spits out this defense, as if to protect $himOrHer in this prison of $hisOrHer nightmares.",,
PatherFanatical1PrisonerHireOption,PopulatePrisonerOptions_PatherFanatical1,,,,"PatherFanatical1OfferHire:Offer to hire $himOrHer.",
PatherFanatical1PrisonerReleaseOption,PopulatePrisonerOptions_PatherFanatical1,,,,"PatherFanatical1Release:Release $himOrHer.",
PatherFanatical1PrisonerExecuteOption,PopulatePrisonerOptions_PatherFanatical1,,,,"PatherFanatical1Execute:Execute $himOrHer.",
PatherFanatical1PrisonerLeaveOption,PopulatePrisonerOptions_PatherFanatical1,,,,"defaultLeave:Leave",
PatherFanatical1PrisonerOfferHire,DialogOptionSelected,"$option == PatherFanatical1OfferHire","
SetStoryOption PatherFanatical1Bluff 1 bluffLuddicPrisoner ui_char_spent_story_point ""Convinced a Pather to join you.""","""Why would I ever even consider joining a heretic like yourself?""
You briefly consider this thought. It's not like other similarly skilled officers don't exist elsewhere in the sector.. and at that, with a more compatible background.","1:PatherFanatical1Bluff:<Lie> Convince $himOrHer to join you on your ""noble mission"".
10:PatherFanatical1NoBluff:Gently rescind the offer.",
PatherFanatical1PrisonerNoBluff,DialogOptionSelected,"$option == PatherFanatical1NoBluff","FireAll PopulatePrisonerOptions_PatherFanatical1",,,
PatherFanatical1PrisonerBluff,DialogOptionSelected,"$option == PatherFanatical1Bluff","
FireBest TNP_HireActivePerson","You appear, to the Pather at least, to mutter the words ""Ludd help me"" under your breath. Your security officer notices this but doesn't make the bluff obvious. The Pather is visibly taken suddenly, and this is when you know you have $himOrHer.

You apologize for invoking His great name, and explain to $himOrHer that your mission is given by a secret group within the Luddic Path, responsible for investigating and destroying heretics that have infiltrated it, and $hisOrHer fleet was harboring one or more of those traitorous scoundrels.

You further explain that being in this very position in your prison to hear these words is evidence that Ludd calls upon $himOrHer to join you on your noble mission.

The Pather nearly jumps at the opportunity. You leave the prison satisfied, overhearing your security officer make it clear to $himOrHer that $heOrShe cannot let anyone else know of the mission, lest a heretic learn of the secret.","10:defaultLeave:Leave",
PatherFanatical1PrisonerRelease,DialogOptionSelected,"$option == PatherFanatical1Release","FireBest TNP_ReleaseActivePerson","The prisoner shoots you one last rapturous look as $heOrShe is about to enter the shuttle.

""Ludd's Light be upon ye, heretic.""","defaultLeave:Leave.",
PatherFanatical1PrisonerExecute,DialogOptionSelected,"$option == PatherFanatical1Execute","FireBest TNP_ExecuteActivePerson","The prisoner seems aware of the fate that befalls him, and doesn't let you see the light leave $hisOrHer eyes.","defaultLeave:Leave.",
PatherFanatical1PrisonerExecuted,TNP_ExecutedPrisoner,"$coff_dialogtrigger == PatherFanatical1", "AdjustRep $personFaction.id VENGEFUL -8",,,
"#END Pious",,,,,,
"#END Luddic Path",,,,,,
,,,,,,
# Pirates,,,,,,
,,,,,,
# Apologetic,,,,,,
PickPrisonerDialogPirateApologetic1,PickPrisonerDialog,"$personFaction.id == pirates
TNP_RandomChance 10","$coff_dialogtrigger = PirateApologetic1
$coff_allowedactions = ""talk,release,ransom,execute""",,,"Apologetic dialog for pirate. 5% chance."
OpenPrisonerDialogFirst_PirateApologetic1,StartPrisonerDialog,"$coff_dialogtrigger == PirateApologetic1 score:100
!$coff_metprisoner","$coff_metprisoner = true
TNP_GetRandomCloseMarketForFaction pirates
FireAll PopulatePrisonerOptions_PirateApologetic1","Before you even see into the cell you can hear a light sobbing. As you round the corner, you see your security officer, who mentions that this started shortly after they were picked up by the rescue teams.",,
OpenPrisonerDialogAfterFirst_PirateApologetic1,StartPrisonerDialog,"$coff_dialogtrigger == PirateApologetic1 score:100
$coff_metprisoner","TNP_RecalcMarketDistIfSet
FireAll PopulatePrisonerOptions_PirateApologetic1","You meet again with the prisoner, whose sobbing appears to subsided into a mild depression and panic.",,
PirateApologetic1PryOption,PopulatePrisonerOptions_PirateApologetic1,"!$coff_pried",,,"1:PirateApologetic1Ask:Ask what is troubling $himOrHer.",
PirateApologetic1ReleaseOption,PopulatePrisonerOptions_PirateApologetic1,,,,"4:PirateApologetic1Release:Release $himOrHer.",
PirateApologetic1ExecuteOption,PopulatePrisonerOptions_PirateApologetic1,,,,"5:PirateApologetic1Execute:Execute $himOrHer.",
PirateApologetic1LeaveOption,PopulatePrisonerOptions_PirateApologetic1,"!$coff_pried",,,"10:defaultLeave:Leave",
PirateApologetic1PriedLeaveOption,PopulatePrisonerOptions_PirateApologetic1,"$coff_pried",,,"10:defaultLeave:Tell $himOrHer that you need time.",
PirateApologetic1Pry,DialogOptionSelected,"$option == PirateApologetic1Ask","$coff_pried = true
TNP_CalcBribePrice 0.5
FireAll PopulatePrisonerOptions_PirateApologetic1","$name holds in their sobs for a brief moment to explain.
""Those damn pirates took my family. I was given two options: join them, or watch my family be thrown out an airlock and then be tortured myself. There was no choice."" $HeOrShe falls into sobs once more.",,
PirateApologetic1BribeOption,PopulatePrisonerOptions_PirateApologetic1,"$coff_pried
!$coff_explainedbribe","$coff_explainedbribe = true
Highlight $coff_bribeprice_text
FireBest CheckPirateApologetic1Bribe","$HeOrShe continues to explain that the pirates want $coff_bribeprice_text to free $hisOrHer family.","1:PirateApologetic1Bribe:Offer to pay off the pirates.",
PirateApologetic1BribeOptionAlreadyExplained,PopulatePrisonerOptions_PirateApologetic1,"$coff_pried
$coff_explainedbribe","Highlight $coff_bribeprice_text
FireBest CheckPirateApologetic1Bribe true","The pirates want $coff_bribeprice_text to free $hisOrHer family.","1:PirateApologetic1Bribe:Offer to pay off the pirates.",
PirateApologetic1BribeOptionCannotAfford,CheckPirateApologetic1Bribe,"$player.credits < $coff_bribeprice","SetTooltip PirateApologetic1Bribe ""Insufficient amount of credits.""
SetEnabled PirateApologetic1Bribe false",,,
PirateApologetic1ViolenceOption,PopulatePrisonerOptions_PirateApologetic1,"$coff_pried
!$coff_explainedraid","$coff_explainedraid = true
SetTextHighlightColors $coff_market_color h h
Highlight $coff_market_name ""$coff_market_dist lightyears away"" ""20 marines""
FireBest CheckPirateApologetic1Raid true","Your intelligence officer is able to trace the last message sent to $himOrHer as being from a hideout on $coff_market_name, which is $coff_market_dist lightyears away. They also estimate that raiding it will require 20 marines to ensure safety for the family.","2:PirateApologetic1Violence:Raid the pirates' hideout.",
PirateApologetic1ViolenceOptionAlreadyExplained,PopulatePrisonerOptions_PirateApologetic1,"$coff_pried
$coff_explainedraid","
SetTextHighlightColors $coff_market_color h h
Highlight $coff_market_name ""$coff_market_dist lightyears away"" ""20 marines""
FireBest CheckPirateApologetic1Raid true","The pirates holding $hisOrHer family hostage are in a hideout on $coff_market_name, which is $coff_market_dist lightyears away. Raiding it will require 20 marines to ensure safety for the family.","2:PirateApologetic1Violence:Raid the pirates' hideout.",
PirateApologetic1ViolenceOptionNeedsToBeClose,CheckPirateApologetic1Raid,"!TNP_CloseToMarket","SetTooltip PirateApologetic1Violence ""You need to be closer to $coff_market_name. The raid requires 20 marines, and you have $player.marines.""
SetEnabled PirateApologetic1Violence false",,,
PirateApologetic1ViolenceOptionHasntMarines,CheckPirateApologetic1Raid,"TNP_CloseToMarket
$player.marines < 20","SetTooltip PirateApologetic1Violence ""The raid requires 20 marines, and you have only $player.marines.""
SetEnabled PirateApologetic1Violence false",,,
PirateApologetic1Violence,DialogOptionSelected,"$option == PirateApologetic1Violence","FireAll PopulatePrisonerOptions_PirateApologetic1PostFamily","You watch through the field cameras as the marines breach the pirate hideout. They didn't expect a thing, and most of them scrambled for the closest escape option before your display lit up from the light munitions fire. It doesn't take long before the team lead reports that the family was found safe.",,
PirateApologetic1Bribe,DialogOptionSelected,"$option == PirateApologetic1Bribe","AddRemoveCommodity credits -$coff_bribeprice true
FireAll PopulatePrisonerOptions_PirateApologetic1PostFamily","$HeOrShe looks up at you, mouth agape. The room sits still for a couple moments, before $heOrShe launches at you for probably the tightest hug you've ever been given. The security officer must have released their restraints after hearing your offer. After a while, the now-happy sobbing finishes.",,
PirateApologetic1FamilyText,PopulatePrisonerOptions_PirateApologetic1PostFamily,,"FireBest TNP_RemoveActivePerson","The prisoner's family is brought to them, together once again. $name says that $heOrShe cannot thank you enough for what you did for $himOrHer today.","10:defaultLeave:Leave.",
PirateApologetic1HireOption,PopulatePrisonerOptions_PirateApologetic1PostFamily,"TNP_HasTooManyOfficers PirateApologetic1Hire",,,"1:PirateApologetic1Hire:Offer to hire $himOrHer.",
PirateApologetic1Hire,DialogOptionSelected,"$option == PirateApologetic1Hire","FireBest TNP_HireActivePerson","$name gladly accepts your offer. $HeOrShe spends the night with $hisOrHer family before they all say their goodbyes, with a promise made to make their lives happy using the generous salary that you have offered them.","defaultLeave:Good.",
PirateApologetic1Release,DialogOptionSelected,"$option == PirateApologetic1Release","FireBest TNP_ReleaseActivePerson","The prisoner looks up at you with wet, beady eyes as you tell $himOrHer that you'll be releasing them. A faint glimmer of hope appears.

They leave without a thanks.","defaultLeave:Leave.",
PirateApologetic1ReleaseAfterPrying,DialogOptionSelected,"$option == PirateApologetic1Release
$coff_pried","FireBest TNP_ReleaseActivePerson","The prisoner looks up at you with wet, beady eyes as you tell $himOrHer that you'll be releasing them. A glimmer of hope appears, a second chance given to save their family.

They leave in a hurry, thanking you profusely.","defaultLeave:Leave.",
PirateApologetic1Execute,DialogOptionSelected,"$option == PirateApologetic1Execute","FireBest TNP_ExecuteActivePerson","The prisoner sobs until the very end.","defaultLeave:Leave.","You monster."
"#END Apologetic",,,,,,
"#END Pirates",,,,,,
,,,,,,
# Hegemony,,,,,,
,,,,,,
# Scared 1,,,,,,"Hegemony officer that accepts bribes."
PickPrisonerDialogHegemonyScared1,PickPrisonerDialog,"$personFaction.id == hegemony","$coff_dialogtrigger = HegemonyScared1
TNP_SetRandomInt hegeCode 100000 999999
$coff_allowedactions = ""talk,release,ransom,execute""",,,
OpenPrisonerDialogFirst_HegemonyScared1,StartPrisonerDialog,"$coff_dialogtrigger == HegemonyScared1 score:100","TNP_CalcBribePrice
$coff_metprisoner = true
FireAll PopulatePrisonerOptions_HegemonyScared1","$PersonRank $personLastName looks up at you as you enter the cell. $HisOrHer face is a mixture of confusion and happiness, probably from still being alive after an engagement rather than floating in the void, or the adrenaline still flowing through their veins.

""Captain $player.name, it's nice to meet you. I am $PersonRank $personName, HSN-$hegeCode. I'll formally request that you release me now, otherwise there may be diplomatic consequences."" $HeOrShe said this shakily.",,
OpenPrisonerDialogAfterFirst_HegemonyScared1,StartPrisonerDialog,"$coff_dialogtrigger == HegemonyScared1 score:100
$coff_metprisoner","TNP_CalcBribePrice
$coff_metprisoner = true
FireAll PopulatePrisonerOptions_HegemonyScared1","$PersonRank $personLastName looks up at you as you enter the cell again. $HisOrHer face is much more calm than the last time you saw $himOrHer, and $heOrShe isn't shaking as much either.

""Hello again, Captain. Are you here to release me?""",,
HegemonyScared1BribeOptionCanAfford,PopulatePrisonerOptions_HegemonyScared1,"$player.credits >= $coff_bribeprice
TNP_HasTooManyOfficers HegemonyScared1Bribe",,,"HegemonyScared1Bribe:Offer to hire $himOrHer for $coff_bribeprice_text.",
HegemonyScared1BribeOptionCannotAfford,PopulatePrisonerOptions_HegemonyScared1,"$player.credits < $coff_bribeprice","SetTooltip HegemonyScared1Bribe ""Insufficient amount of credits.""
SetEnabled HegemonyScared1Bribe false",,"HegemonyScared1Bribe:Offer to hire $himOrHer for $coff_bribeprice_text.",
HegemonyScared1RansomOption,PopulatePrisonerOptions_HegemonyScared1,"TNP_CloseToAnyFactionMarket
$coff_ransomable",,,"6:HegemonyScared1Ransom:Ransom $himOrHer for $coff_ransomprice_text.",
HegemonyScared1ReleaseOption,PopulatePrisonerOptions_HegemonyScared1,,,,"7:HegemonyScared1Release:Release $himOrHer.",
HegemonyScared1ExecuteOption,PopulatePrisonerOptions_HegemonyScared1,,,,"8:HegemonyScared1Execute:Execute $himOrHer.",
HegemonyScared1LeaveOption,PopulatePrisonerOptions_HegemonyScared1,,,,"10:defaultLeave:Leave",
HegemonyScared1Bribe,DialogOptionSelected,"$option == HegemonyScared1Bribe","AddRemoveCommodity credits -$coff_bribeprice true
FireBest TNP_HireActivePerson","The $personRank gladly accepts your offer, probably more happy at the thought of being alive than the paltry sum you gave them. You order your security officer to handle the credentials -- it's time to get back to work.

OR

$personName almost jumps as you offer this to them. In their mind your next words could've been anything, and it seemed the last thought they had was you offering them credits. Your security officer handles the rest as you head back up to the bridge.","defaultLeave:Good.",
HegemonyScared1Ransom,DialogOptionSelected,"$option == HegemonyScared1Ransom","AddRemoveCommodity credits $coff_ransomprice true
FireBest TNP_RemoveActivePerson","The prisoner, still shaking, is escorted to the shuttle. As it leaves weapons range of your fleet, you hear a ping from your Tri-Pad indicating that you've received the ransom funds from the Hegemony for the officer.","defaultLeave:Leave.",
HegemonyScared1Release,DialogOptionSelected,"$option == HegemonyScared1Release","FireBest TNP_ReleaseActivePerson","The prisoner, still shaking, gives you a nod as they enter the shuttle.

""Thank you for being one of the good ones, Captain. I'll see to it that people know what you did today.""","defaultLeave:Leave.",
HegemonyScared1Execute,DialogOptionSelected,"$option == HegemonyScared1Execute","FireBest TNP_ExecuteActivePerson","The prisoner is terrified for a brief moment, but that moment is all it takes for the life to leave $hisOrHer eyes.","defaultLeave:Leave.",
HegemonyScared1Executed,TNP_ExecutedPrisoner,"$coff_dialogtrigger == HegemonyScared1", "AdjustRep $personFaction.id VENGEFUL -8",,,
HegemonyScared1Released,TNP_ReleasedPrisoner,"$coff_dialogtrigger == HegemonyScared1", "AdjustRep $personFaction.id INHOSPITABLE 3",,,
"#END Scared 1",,,,,,
,,,,,,
# Idealistic 1,,,,,,
PickPrisonerDialog_HegemonyIdealistic1,PickPrisonerDialog,"$personFaction.id == hegemony
TNP_RandomChance 15","$coff_dialogtrigger = HegemonyIdealistic1
TNP_SetRandomInt hegeCode 100000 999999
$coff_allowedactions = ""talk,release,ransom,execute""",,,"A Hegemony person that quotes code at you. Idolizes the domain."
OpenPrisonerDialogFirst_HegemonyIdealistic1,StartPrisonerDialog,"$coff_dialogtrigger == HegemonyIdealistic1 score:100
!$coff_metprisoner","$coff_metprisoner = true
TNP_CalcBribePrice
FireAll PopulatePrisonerOptions_HegemonyIdealistic1","$name is brought to you in powered bindings strong enough to resist even augmented strength, although most Hegemony officials aren't known to have that level of augmentation. $HeOrShe stares defiantly into your eyes, speaking before you do.

""I am $rank $name, HSN-$hegeCode. I have nothing more to say to you except to end this quickly.""",,
OpenPrisonerDialogAfterFirst_HegemonyIdealistic1,StartPrisonerDialog,"$coff_dialogtrigger == HegemonyIdealistic1 score:100
$coff_metprisoner","TNP_CalcBribePrice
FireAll PopulatePrisonerOptions_HegemonyIdealistic1","$personName is brought to you again. $HisOrHer defiance hasn't wavered a bit, as $heOrShe stares defiantly in your eyes, speaking before you do.

""I told you that I have nothing more to say to you.""",,
HegemonyIdealistic1BribeOptionFirst,PopulatePrisonerOptions_HegemonyIdealistic1,"!$coff_triedToBribe
!$coff_failedBluff
TNP_HasTooManyOfficers HegemonyIdealistic1PrisonerBribe",,,"1:HegemonyIdealistic1PrisonerBribe:Offer to hire $himOrHer for $coff_bribeprice_text.",
HegemonyIdealistic1PrisonerBluffOption,PopulatePrisonerOptions_HegemonyIdealistic1,"$coff_triedToBribe
!$coff_failedBluff
TNP_HasTooManyOfficers HegemonyIdealistic1PrisonerBluff","SetStoryOption HegemonyIdealistic1PrisonerBluff 1 bluffHegemonyPrisoner ui_char_spent_story_point ""Convinced a Domain idealist to join you.""","You could convince the $personRank to join your ranks by appealing to the goals of $thePersonFaction.","1:HegemonyIdealistic1PrisonerBluff:Make an appeal to $hisOrHer idealism.","credit to Fully Automatic Waffle Press"
HegemonyIdealistic1RansomOption,PopulatePrisonerOptions_HegemonyIdealistic1,"TNP_CloseToAnyFactionMarket
$coff_ransomable",,,"6:HegemonyIdealistic1Ransom:Ransom $himOrHer for $coff_ransomprice_text.",
HegemonyIdealistic1PrisonerReleaseOption,PopulatePrisonerOptions_HegemonyIdealistic1,,,,"7:HegemonyIdealistic1PrisonerRelease:Release $himOrHer.",
HegemonyIdealistic1PrisonerExecuteOption,PopulatePrisonerOptions_HegemonyIdealistic1,,,,"8:HegemonyIdealistic1PrisonerExecute:Execute $himOrHer.",
HegemonyIdealistic1PrisonerLeaveOption,PopulatePrisonerOptions_HegemonyIdealistic1,,,,"10:defaultLeave:Leave",
HegemonyIdealistic1PrisonerBribe,DialogOptionSelected,"$option == HegemonyIdealistic1PrisonerBribe","$coff_triedToBribe = true
FireAll PopulatePrisonerOptions_HegemonyIdealistic1","$HeOrShe scoffs at your offer.
""You think my loyalty can be bought like groceries? Spend your credits elsewhere -- I will never join your band of traitors.""",,"L"
HegemonyIdealistic1PrisonerBluff,DialogOptionSelected,"$option == HegemonyIdealistic1PrisonerBluff",,"You ask $PersonRank $personLastName what convinced them to sign up with the Hegemony. Was it the pay? The chance to leave $hisOrHer old life behind and see the stars? Or perhaps their sense of duty; did $heOrShe still believe in the old mission, to restore the Domain?

""Of course,"" $heOrShe replies. ""I appreciate your civility, but you won’t sway me.""

Hardly your intention, you explain. But if they still truly believed that was a cause worth dying for - why were they still here, and not floating with the others in the void? 

""A matter of luck. Luck and I suppose some surprising measure of decency on your part."" The slightest pull of a facial muscle tells you $heOrShe might not have given you the same courtesy.","HegemonyIdealistic1PrisonerBluff2:Speak of your dream of the new Domain.",
HegemonyIdealistic1PrisonerBluff2,DialogOptionSelected,"$option == HegemonyIdealistic1PrisonerBluff2",,"You launch into an impassioned speech about your desire to see a united sector where such decency and kindness was no longer remarkable, but commonplace; where all law-abiding people could coexist in peace without fear of their neighbors, where warriors like you and $himOrHer could retire to enjoy a life of simplicity in a grateful Sector.

$PersonRank $personLastName looks up into the ceiling lights for a moment, as if peering into the imagined peaceful cosmos of tomorrow. ","HegemonyIdealistic1PrisonerBluff3:Give them time to envision your dream.",
