id,trigger,conditions,script,text,options,notes
TriTachIndebted1TakeLoan,DialogOptionSelected,"$option == TriTachIndebted1TakeLoan","$coff_tookloan = true
TNP_AddRandomTriTachyonLoan
CallEvent $coff_loanIntel putValuesInMemory
FireAll PopulatePrisonerOptions_TriTachIndebted1","You offer to $himOrHer to take on the loan. $HeOrShe looks up into your eyes, mouth agape. 

""I don't know how to thank you. I can't even understand why you'd do such a thing for someone that tried to kill you."" $HeOrShe looks down again, contemplating. ""I have no choice but to accept. Thank you from the bottom of my heart, truly.""",,
TriTachIndebted1Protect,DialogOptionSelected,"$option == TriTachIndebted1Protect","$coff_offeredprotection = true
SetTooltip TriTachIndebted1Hire ""The official who gave the prisoner the loan will not be happy about this.""","You offer to protect $himOrHer from anything that Tri-Tachyon sends your way. $HeOrShe looks up, surprised.

""I'm flattered, really. But you don't understand -- they will come for you, and turn you and I and everything we know into ash.,""

This seems hyperbolic at first, but you're more inclined to believe that the official that handed out the loan was more persuasive, unforgiving, and powerful than any that you've met.","1:TriTachIndebted1HireProtect:Offer to hire $himOrHer.
2:TriTachIndebted1Back:Reconsider your options.",
TriTachIndebted1HireOption,PopulatePrisonerOptions_TriTachIndebted1,"TNP_HasTooManyOfficers TriTachIndebted1Hire
$coff_tookloan",,,"1:TriTachIndebted1Hire:Offer to hire $himOrHer.",
TriTachIndebted1Hire,DialogOptionSelected,"$option == TriTachIndebted1Hire","TNP_LevelUp
TNP_HireAndRemoveActivePerson
Highlight ""$personName has gained an extra level.""","You extend your hand out to $himOrHer, commending $hisOrHer piloting skills and command of $hisOrHer crew, and finally offer to hire $himOrHer on the spot. $HeOrShe looks surprised.

""It's not the first time that you've surprised me, commander. I think I've learned a thing or two from you. I accept your offer.""

$personName has gained an extra level.","defaultLeave:Good.",
TriTachIndebted1HireProtect,DialogOptionSelected,"$option == TriTachIndebted1HireProtect","TNP_LevelUp
TNP_HireAndRemoveActivePerson
Highlight ""$personName has gained an extra level.""
TNP_SendRelentlessBountyHunters tritachyon","You extend your hand out to $himOrHer, commending $hisOrHer piloting skills and command of $hisOrHer crew, and finally offer to hire $himOrHer on the spot. $HeOrShe again looks surprised.

""It's not the first time that you've surprised me, commander. I think I've learned a thing or two from you. I accept your offer. Let's give these bastards hell.""

$personName has gained an extra level.","defaultLeave:Good.",
TriTachIndebted1Back,DialogOptionSelected,"$option == TriTachIndebted1Back","FireAll PopulatePrisonerOptions_TriTachIndebted1","You tell $himOrHer that you'll take some time to think about it.",,
TriTachIndebted1Executed,TNP_ExecutedPrisoner,"$coff_dialogtrigger == TriTachIndebted1","AdjustRep $personFaction.id VENGEFUL -4",,,
TriTachIndebted1ExecutedWithoutLoan,TNP_ExecutedPrisoner,"$coff_dialogtrigger == TriTachIndebted1
!$coff_tookloan","TNP_SendRelentlessBountyHunters tritachyon",,,
TriTachIndebted1Released,TNP_ReleasedPrisoner,"$coff_dialogtrigger == TriTachIndebted1", "AdjustRep $personFaction.id INHOSPITABLE 3",,,
"#END Indebted 1",,,,,,
"#END Tri-Tachyon",,,,,,
,,,,,,
# Sindrian Diktat,,,,,,
,,,,,,
# Loyalist 1,,,,,,
PickPrisonerDialogSindrianLoyalist1,PickPrisonerDialog,"$personFaction.id == sindrian_diktat","$coff_dialogtrigger = SindrianLoyalist1
$coff_allowedactions = ""talk,release,ransom,execute""",,,"Loyal sindrian officer."
OpenPrisonerDialogSindrianLoyalist1,StartPrisonerDialog,"$coff_dialogtrigger == SindrianLoyalist1 score:100","TNP_CalcBribePrice
FireAll PopulatePrisonerOptions_SindrianLoyalist1","You meet with the officer in your brig, the crest of the Sindrian Diktat dimly gleaming in the light. $HisOrHer eyes narrow as you approach.

""Release me or you will know the wrath of the Lion!""",,
SindrianLoyalist1BribeOptionFirst,PopulatePrisonerOptions_SindrianLoyalist1,"!$coff_triedToBribe",,,"SindrianLoyalist1Bribe:Offer to hire $himOrHer for $coff_bribeprice_text.",
SindrianLoyalist1BribeOptionDisabled,PopulatePrisonerOptions_SindrianLoyalist1,"$coff_triedToBribe","SetTooltip SindrianLoyalist1Bribe ""The prisoner doesn't take bribes.""
SetEnabled SindrianLoyalist1Bribe false",,"SindrianLoyalist1Bribe:Offer to hire $himOrHer.",
SindrianLoyalist1RansomOption,PopulatePrisonerOptions_SindrianLoyalist1,"TNP_CloseToAnyFactionMarket
$coff_ransomable",,,"6:SindrianLoyalist1Ransom:Ransom $himOrHer for $coff_ransomprice_text.",
SindrianLoyalist1ReleaseOption,PopulatePrisonerOptions_SindrianLoyalist1,,,,"7:SindrianLoyalist1Release:Release $himOrHer.",
SindrianLoyalist1ExecuteOption,PopulatePrisonerOptions_SindrianLoyalist1,,,,"8:SindrianLoyalist1Execute:Execute $himOrHer.",
SindrianLoyalist1LeaveOption,PopulatePrisonerOptions_SindrianLoyalist1,,,,"10:defaultLeave:Leave",
SindrianLoyalist1Bribe,DialogOptionSelected,"$option == SindrianLoyalist1Bribe","$coff_triedToBribe = true
FireAll PopulatePrisonerOptions_SindrianLoyalist1","The Sindrian Diktat officer growls at the thought, eyes narrowing further as you ask to name a price.

""My loyalty is not for sale, you degenerate!"" The Officer shouts, holding whatever air of authority $heOrShe can muster despite the situation. ""Only in death shall sever my service to the Lion!""",,
SindrianLoyalist1Ransom,DialogOptionSelected,"$option == SindrianLoyalist1Ransom","AddRemoveCommodity credits $coff_ransomprice true
FireBest TNP_RemoveActivePerson","$HeOrShe is escorted to the shuttle. As it leaves weapons range of your fleet, you hear a ping from your Tri-Pad indicating that you've received the ransom funds for the officer.","defaultLeave:Good.",
SindrianLoyalist1Release,DialogOptionSelected,"$option == SindrianLoyalist1Release","FireBest TNP_ReleaseActivePerson","$HeOrShe gives you one last fierce look as $heOrShe enters the waiting shuttle.

""This doesn't mean you've seen the last of the Lion. Continue your criminal actions against it and you will face its wrath again!""","defaultLeave:Leave.",
SindrianLoyalist1Execute,DialogOptionSelected,"$option == SindrianLoyalist1Execute","FireBest TNP_ExecuteActivePerson","As you order the execution of the prisoner, the $PersonRank stares at you defiantly.

""My death shall be but a stepping down for the Lion! May my life ensure that scum like you will face their judg-""

A deafening boom is enough to silence the officer as $heOrShe slumps over. You shake your head as you turn away, leaving the body to be disposed of by your crew.","defaultLeave:Leave.",
SindrianLoyalist1Executed,TNP_ExecutedPrisoner,"$coff_dialogtrigger == SindrianLoyalist1","AdjustRep $personFaction.id VENGEFUL -6",,,
SindrianLoyalist1Released,TNP_ReleasedPrisoner,"$coff_dialogtrigger == SindrianLoyalist1", "AdjustRep $personFaction.id INHOSPITABLE 3",,,
"#END Loyalist 1",,,,,,
,,,,,,
# Unloyalist 1,,,,,,
PickPrisonerDialogSindrianUnloyalist1,PickPrisonerDialog,"$personFaction.id == sindrian_diktat
TNP_RandomChance 30","$coff_dialogtrigger = SindrianUnloyalist1
$coff_allowedactions = ""talk,hire,release,execute""",,,"Paranoia about being executed. Will absolutely do their best to avoid being sent back."
OpenPrisonerDialogSindrianUnloyalist1,StartPrisonerDialog,"$coff_dialogtrigger == SindrianUnloyalist1 score:100","TNP_CalcBribePrice
FireAll PopulatePrisonerOptions_SindrianUnloyalist1","The Diktat officer jitters about as $heOrShe sits in $hisOrHer cell. You can barely hear $himOrHer mumbling something under $hisOrHer breath.

""Can't go back, can't go back, they'll kill you, they'll kill you...""

It seems more directed towards the self rather than anyone else.",,"Default dialog."
SindrianUnloyalist1BribeOption,PopulatePrisonerOptions_SindrianUnloyalist1,,,,"SindrianUnloyalist1Hire:Offer to hire $himOrHer for $coff_bribeprice_text.",
SindrianUnloyalist1RansomOption,PopulatePrisonerOptions_SindrianUnloyalist1,"TNP_CloseToAnyFactionMarket
$coff_ransomable",,,"6:SindrianUnloyalist1Ransom:Ransom $himOrHer for $coff_ransomprice_text.",
SindrianUnloyalist1RansomOptionConfirm,PopulatePrisonerOptions_SindrianUnloyalist1_Ransom,,,,"6:SindrianUnloyalist1RansomConfirm:Ransom $himOrHer for $coff_ransomprice_text.",
SindrianUnloyalist1RansomOptionDeny,PopulatePrisonerOptions_SindrianUnloyalist1_Ransom,,,,"7:SindrianUnloyalist1RansomDeny:Tell $himOrHer that you won't ransom them.",
SindrianUnloyalist1ReleaseOption,PopulatePrisonerOptions_SindrianUnloyalist1,,,,"7:SindrianUnloyalist1Release:Release $himOrHer.",
SindrianUnloyalist1ExecuteOption,PopulatePrisonerOptions_SindrianUnloyalist1,,,,"8:SindrianUnloyalist1Execute:Execute $himOrHer.",
SindrianUnloyalist1LeaveOption,PopulatePrisonerOptions_SindrianUnloyalist1,,,,"10:defaultLeave:Leave",
SindrianUnloyalist1Hire,DialogOptionSelected,"$option == SindrianUnloyalist1Hire","FireBest TNP_HireAndRemoveActivePerson","
""Y-you're going to hire me?"" $HeOrShe stutters. ""P-please, I'll do anything you want! I'll sweep the floors, I'll cook your food, I'll do space walks, just anything but sending me back to Askonia! Y-you don't even have to pay me! Just keep me the hell away from the Diktat!""

After letting the officer calm down, you allow your security team to brief the officer in preparation for $himOrHer to begin their new job as an officer for you.","10:defaultLeave:Leave",
SindrianUnloyalist1RansomFirst,DialogOptionSelected,"$option == SindrianUnloyalist1Ransom","FireAll PopulatePrisonerOptions_SindrianUnloyalist1_Ransom","""N-no, no! I c-can't go back! They're gonna kill me... they're gonna kill me!""
The officer begins rocking back and forth as they keep incoherently talking to themself.
""Gonna kill me, they're gonna kill me!""",,
SindrianUnloyalist1RansomDeny,DialogOptionSelected,"$option == SindrianUnloyalist1RansomDeny","FireAll PopulatePrisonerOptions_SindrianUnloyalist1","""Not... going back to Askonia?""

The officer seems to calm down, though it seems clear that they don't want to be sent back to $thePersonFaction.",,
SindrianUnloyalist1RansomConfirm,DialogOptionSelected,"$option == SindrianUnloyalist1RansomConfirm","AddRemoveCommodity credits $coff_ransomprice true
FireBest TNP_RemoveActivePerson","""N-no... NO! YOU CAN'T SENT ME BACK. THEY'RE GOING TO KILL ME!""

The officer screams and roars, thrashing about their cell. It takes a few of your crew to subdue them, and after managing to knock the officer unconscious, you have your crew bring the officer to a waiting shuttle directed back to the Diktat.","defaultLeave:Leave.",
SindrianUnloyalist1Release,DialogOptionSelected,"$option == SindrianUnloyalist1Release","FireBest TNP_ReleaseActivePerson","""Y-you're letting me go? J-just like that? Not back to A-Askonia?""

The officer is a bit worried at first, but after you calmly inform $himOrHer that $heOrShe is not going back to Askonia, $heOrShe seems relieved. Your guards then proceed to escort the officer off to a waiting shuttle.","defaultLeave:Leave.",
SindrianUnloyalist1Execute,DialogOptionSelected,"$option == SindrianUnloyalist1Execute","FireBest TNP_ExecuteActivePerson","The Diktat officer barely has a chance to notice one of your guard's weapons being pointed at $himOrHer before the deed is done, leaving your crew with a body to dispose of.","defaultLeave:Leave.",
SindrianUnloyalist1Executed,TNP_ExecutedPrisoner,"$coff_dialogtrigger == SindrianUnloyalist1","AdjustRep $personFaction.id VENGEFUL -6",,,
"#END Unloyalist 1",,,,,,
"#END Sindrian Diktat",,,,,,
,,,,,,
# Persean League,,,,,,
,,,,,,
# Snobbish 1,,,,,,
PickPrisonerDialog_LeagueSnobbish1,PickPrisonerDialog,"$personFaction.id == persean score:100
TNP_RandomChance 20","$coff_dialogtrigger = LeagueSnobbish1
$coff_allowedactions = ""talk,ransom,release,execute""",,,"A league officer with eccentric desires and more than meets the eye."
OpenPrisonerDialogFirst_LeagueSnobbish1,StartPrisonerDialog,"$coff_dialogtrigger == LeagueSnobbish1 score:100
!$coff_metprisoner","$coff_metprisoner = true
FireBest GiveDesire_LeagueSnobbish1
FireAll PopulatePrisonerOptions_LeagueSnobbish1","You round the corner hearing complaints from the prisoner. $PersonRank $personLastName almost looks happy to see you, before $heOrShe immediately remembers that $heOrShe is your prisoner and you hold the upper hand in this situation.

""Ah, Captain $playerLastName! I was wondering when you would finally reveal yourself. I am no spoiled Tri-Tachyon official, but my greeting on board your vessel hasn't been the best. """,,"Default dialog."
OpenPrisonerDialogAfterFirst_LeagueSnobbish1,StartPrisonerDialog,"$coff_dialogtrigger == LeagueSnobbish1 score:100
$coff_metprisoner","FireAll PopulatePrisonerOptions_LeagueSnobbish1
Highlight ""$coff_desire""","$PersonRank $personLastName puts on the same face they had when you first met them: a mixture of appraisal and a smile that is trying to soften you up.

""Captain $playerLastName! It's so nice to see you again. Have you given any more thought about providing that $coff_desire to me?""",,
OpenPrisonerDialogAfterSatisfaction_LeagueSnobbish1,StartPrisonerDialog,"$coff_dialogtrigger == LeagueSnobbish1 score:100
$coff_desiresSatisfied score:10","FireAll PopulatePrisonerOptions_LeagueSnobbish1
Highlight ""$coff_bribeprice_text""","$PersonRank $personLastName has been in notably higher spirits since you gave $himOrHer a gift. $HeOrShe practically beams at you as you enter their quarters.

""Hello, captain! Perhaps you've considered my offer of just $coff_bribeprice_text for my skills?""",,
OpenPrisonerDialogAfterIgnored_LeagueSnobbish1,StartPrisonerDialog,"$coff_dialogtrigger == LeagueSnobbish1 score:100
$coff_desiresIgnored score:10","FireAll PopulatePrisonerOptions_LeagueSnobbish1","$PersonRank $personLastName has refused to cooperate with security officers on many occasions since your last visit to $himOrHer.

""Ah, it's you. I don't suppose you're here to release me? There's no way you're possibly considering the exorbitant price I gave you, after all.""",,
LeagueSnobbish1DesiresNewRoom,GiveDesire_LeagueSnobbish1,,"$coff_desire = ""room""
Highlight ""living quarter""","$HeOrShe continues. ""This cell is positively dismal and gray. Perhaps you would consider moving me to a more.. fine living quarter?""",,
LeagueSnobbish1DesiresTea,GiveDesire_LeagueSnobbish1,,"$coff_desire = ""tea""
Highlight ""Some tea""","$HeOrShe continues. ""I haven't been offered even a single refreshment since I was abducted. Some tea sounds great right now!""",,
LeagueSnobbish1DesiresTriPad,GiveDesire_LeagueSnobbish1,,"$coff_desire = ""Tri-Pad""
Highlight ""Tri-Pad""","$HeOrShe continues. ""It's terribly boring on your ship. I even asked one of your fine personnel to tell me a story of your escapades, but I did not so much as receive a response! A Tri-Pad would help sooth my boredom.""",,
LeagueSnobbish1DesireOption_Room,PopulatePrisonerOptions_LeagueSnobbish1,"!$coff_desiresSatisfied
!$coff_desiresIgnored",,,"1:LeagueSnobbish1GiveDesire_Room:Move the prisoner to a finer cell.",
LeagueSnobbish1DesireOption_Tea,PopulatePrisonerOptions_LeagueSnobbish1,"!$coff_desiresSatisfied
!$coff_desiresIgnored",,,"2:LeagueSnobbish1GiveDesire_Tea:Have tea brought for you and $himOrHer.
",
LeagueSnobbish1DesireOption_TriPad,PopulatePrisonerOptions_LeagueSnobbish1,"!$coff_desiresSatisfied
!$coff_desiresIgnored",,,"3:LeagueSnobbish1GiveDesire_TriPad:Bring a Tri-Pad that is severed from outside communication.",
LeagueSnobbish1GiveDesire_Room,DialogOptionSelected,"$coff_desire == ""room""
$option == LeagueSnobbish1GiveDesire_Room","TNP_CalcBribePrice 0.5
FireBest LeagueSnobbish1_DesireSatisfied","$HeOrShe lounges on the couch in the new room provided to them. ""Ah, now this is the life, Captain! I haven't lounged on a couch this comfortable in just about 10 cycles.""","1:LeagueSnobbish1DesireSatisfied2:Smile slightly.",
LeagueSnobbish1IgnoreDesire_Room,DialogOptionSelected,"$option == LeagueSnobbish1GiveDesire_Room","FireBest LeagueSnobbish1_DesireIgnored",,,
LeagueSnobbish1GiveDesire_Tea,DialogOptionSelected,"$coff_desire == ""tea""
$option == LeagueSnobbish1GiveDesire_Tea","TNP_CalcBribePrice 0.5
FireBest LeagueSnobbish1_DesireSatisfied","$HeOrShe takes a sip of the hot tea you provided for $himOrHer. You're surprised $hisOrHer lips didn't burn, and $heOrShe notices that.","1:LeagueSnobbish1DesireSatisfied2:Take a sip of your tea, eyes on $himOrHer.",
LeagueSnobbish1IgnoreDesire_Tea,DialogOptionSelected,"$option == LeagueSnobbish1GiveDesire_Tea","FireBest LeagueSnobbish1_DesireIgnored",,,
LeagueSnobbish1GiveDesire_TriPad,DialogOptionSelected,"$coff_desire == ""Tri-Pad""
$option == LeagueSnobbish1GiveDesire_TriPad","FireBest LeagueSnobbish1_DesireSatisfied","$HeOrShe takes one look at the TriPad and frowns a bit noticing the severed connection. You shrug, as no warden worth their salt would allow complete and uninterrupted access to the outside, even just through a Tri-Pad. ""Oh, Captain. I'm not judging you, obviously. I just wish you had better taste in holovids."" 

You take the Tri-Pad from $hisOrHer hands, input a few commands and hand it back to $himOrHer. $HisOrHer face lights up at the much widened selection of entertainment options presented.","1:LeagueSnobbish1DesireSatisfied2:Recommend your favorite visual novel.",
LeagueSnobbish1IgnoreDesire_TriPad,DialogOptionSelected,"$option == LeagueSnobbish1GiveDesire_TriPad","FireBest LeagueSnobbish1_DesireIgnored",,,
LeagueSnobbish1DesireSatisfied,LeagueSnobbish1_DesireSatisfied,,"$coff_desiresHandled = true
$coff_desiresSatisfied = true
TNP_CalcBribePrice 0.5",,,
LeagueSnobbish1DesireSatisfied2,DialogOptionSelected,"$option == LeagueSnobbish1DesireSatisfied2","$coff_desiresSatisfied = true
$coff_desire = ""none""
TNP_CalcBribePrice 0.5","""I hope that's no look of judgement."" $HeOrShe looks up at you, the smile slowly fading from their face. ""I'm no lush noble from Kazeron. I came from Mazalot. I fought against the Church that took our world from us. Our home.""

$HeOrShe looks down for a moment in silence, then continues. 

""As soon as I made it off that hellhole I got my commission with the League. I think I've earned my fair share, just as you have yours.""","1:LeagueSnobbish1DesireSatisfied3:Remain silent.",
LeagueSnobbish1DesireSatisfied3,DialogOptionSelected,"$option == LeagueSnobbish1DesireSatisfied3","Highlight ""$coff_bribeprice_text""
FireAll PopulatePrisonerOptions_LeagueSnobbish1","$HisOrHer demeanor shifts back to what you saw when you first met $himOrHer. ""That being said, you really know how to get the good stuff, and the right people."" $HeOrShe gives you a cheeky wink.

$HeOrShe then gives you an appraising glance. ""I'll be looking for a price of $coff_bribeprice_text for my skills to work for you instead of the League.""",,
LeagueSnobbish1DesireIgnored,LeagueSnobbish1_DesireIgnored,,"$coff_desiresHandled = true
$coff_desiresIgnored = true
TNP_CalcBribePrice 5
FireAll PopulatePrisonerOptions_LeagueSnobbish1","$HeOrShe frowns at your suggestion. ""Ah. I see you aren't the kind of person that I hoped you to be. Rescuing me from that spaceborne wreck appears to be the one kindness you could offer.""

$HeOrShe continues. ""The only thing you could offer me now is letting back to my own life, unless you're willing to pay for my retirement.""",,
LeagueSnobbish1BribeOption,PopulatePrisonerOptions_LeagueSnobbish1,"$coff_desiresHandled","FireBest LeagueSnobbish1CheckBribe true",,"1:LeagueSnobbish1Bribe:Hire $himOrHer for $coff_bribeprice_text.",
LeagueSnobbish1CheckBribeCannotAfford,LeagueSnobbish1CheckBribe,"$player.credits < $coff_bribeprice","SetTooltip LeagueSnobbish1Bribe ""Insufficient amount of credits.""
SetEnabled LeagueSnobbish1Bribe false",,,
LeagueSnobbish1RansomOption,PopulatePrisonerOptions_LeagueSnobbish1,"TNP_CloseToAnyFactionMarket
$coff_ransomable",,,"6:LeagueSnobbish1Ransom:Ransom $himOrHer for $coff_ransomprice_text.",
LeagueSnobbish1ReleaseOption,PopulatePrisonerOptions_LeagueSnobbish1,,,,"7:LeagueSnobbish1Release:Release $himOrHer.",
LeagueSnobbish1ExecuteOption,PopulatePrisonerOptions_LeagueSnobbish1,,,,"8:LeagueSnobbish1Execute:Execute $himOrHer.",
LeagueSnobbish1LeaveOption,PopulatePrisonerOptions_LeagueSnobbish1,,,,"10:defaultLeave:Leave",
LeagueSnobbish1BribeSatisfied,DialogOptionSelected,"$option == LeagueSnobbish1Bribe
$coff_desiresSatisfied","FireBest TNP_HireActivePerson","""I'm glad we could come to an agreement. I will be glad to work under such a fine captain as yourself!""

The $personRank is told $heOrShe can leave their quarters at any time by your security officer. $name politely refuses, wanting to enjoy your gift to them a little longer.","defaultLeave:Leave.",
LeagueSnobbish1BribeIgnored,DialogOptionSelected,"$option == LeagueSnobbish1Bribe
$coff_desiresIgnored","FireBest TNP_HireActivePerson","The $personRank looks dumbfounded. ""I can't believe you paid that much. A deal's a deal, but it's five times over market rate!""

$name slowly shakes their head. ""Here's to the future, I suppose. I hope you choose to treat my comrades with a little more decency than you showed me.""","defaultLeave:Leave.",
LeagueSnobbish1ReleaseSatisfied,DialogOptionSelected,"$option == LeagueSnobbish1Release
$coff_desiresSatisfied","FireBest TNP_RemoveActivePerson","The prisoner makes their way to the shuttle and gives you a last smile.

""It is truly regrettable that you didn't accept my offer, $playerFirstName. I don't look forward to meeting you again, as I don't think I'll survive the encounter."" $HeOrShe laughs as the shuttle door closes.","defaultLeave:Leave.",
LeagueSnobbish1ReleaseIgnored,DialogOptionSelected,"$option == LeagueSnobbish1Release
$coff_desiresIgnored","FireBest TNP_RemoveActivePerson","The prisoner makes their way to the shuttle, and leaves without a word.","defaultLeave:Leave.",
LeagueSnobbish1Ransom,DialogOptionSelected,"$option == LeagueSnobbish1Ransom","AddRemoveCommodity credits $coff_ransomprice true
FireBest TNP_RemoveActivePerson","$HeOrShe is escorted to the shuttle. $HeOrShe gives you one last look and says ""Here's to the stars, captain.""

As it leaves weapons range of your fleet, you hear a ping from your Tri-Pad indicating that you've received the ransom funds from the Hegemony for the officer.","defaultLeave:Leave.",
LeagueSnobbish1Release,DialogOptionSelected,"$option == LeagueSnobbish1Release","FireBest TNP_ReleaseActivePerson","The prisoner makes their way to the shuttle and gives you a last appraising glance.

""Here's to the stars, captain."" $HeOrShe then closes the shuttle doors.
","defaultLeave:Leave.",
LeagueSnobbish1Execute,DialogOptionSelected,"$option == LeagueSnobbish1Execute","FireBest TNP_ExecuteActivePerson","The prisoner closes their eyes for a brief moment and sighs. $HisOrHer life ends in a couple moments.","defaultLeave:Leave.",
LeagueSnobbish1Executed,TNP_ExecutedPrisoner,"$coff_dialogtrigger == LeagueSnobbish1","AdjustRep $personFaction.id VENGEFUL -8",,,
LeagueSnobbish1Released,TNP_ReleasedPrisoner,"$coff_dialogtrigger == LeagueSnobbish1", "AdjustRep $personFaction.id INHOSPITABLE 3",,,
"#END Snobbish 1",,,,,,
"#END Persean League",,,,,,
,,,,,,
# Any Faction Vengeance Fleets
,,,,,,
COFFVengeancePointExecution,TNP_ExecutedPrisoner,,"TNP_AddVengeancePoint",,,
VengeanceFleetGreetingDefault,OpenCommLink,"$entity.coff_vengeanceFleet score:101",$ignorePlayerCommRequests = true 1,"The enemy $personRank gives you an aggressive glare.

""You may be skilled as a fleet commander, but today your crimes caught up to you. I can only hope that I'm the one to put you down, just as you put down many of my comrades.""",cutCommLink:Cut the comm link,
VengeanceFleetTriTachyon,OpenCommLink,"$entity.coff_vengeanceFleet score:101
$faction.id == tritachyon",$ignorePlayerCommRequests = true 1,"The $personRank raises a wine glass to you before placing it back down on the console.

""You've made quite the splash at Tri-Tachyon, captain. Unfortunately for you, you've also been deemed a liability.""",cutCommLink:Cut the comm link,
VengeanceFleetLuddicPath,OpenCommLink,"$entity.coff_vengeanceFleet score:101
$faction.id == luddic_path",$ignorePlayerCommRequests = true 1,"The pather shoots you a rapturous glare, rising out of their seat.

""You have lost your way, captain. In these final moments, pray that you may be forgiven by Him, because I will not.""",cutCommLink:Cut the comm link,
VengeanceFleetPirates,OpenCommLink,"$entity.coff_vengeanceFleet score:101
$faction.id == pirates",$ignorePlayerCommRequests = true 1,"The pirate is laughing as $heOrShe appears on screen, probably from a joke made by one of the others in the bridge. $HeOrShe turns to you, a smile still on their face.

""Honestly, I didn't even want to come out here. But orders are orders, and some pirate lord wants you dead. At least make it entertaining, yeah?""",cutCommLink:Cut the comm link,